     1→import io
     2→import base64
     3→import json
     4→import re
     5→import time
     6→import asyncio
     7→import httpx
     8→from PIL import Image
     9→import logging
    10→from collections import Counter
    11→from typing import List, Optional, Dict, Any, Tuple
    12→
    13→from core.config import LOCAL_AI_ENDPOINT, MODEL_NAME, LLM_MODE, LLM_API_KEY, PROMPT_VARIANT
    14→from core.ollama_service import generate as llm_generate, LLMError
    15→
    16→logger = logging.getLogger(__name__)
    17→LLM_QUEUE_LOCK = asyncio.Lock()
    18→
    19→PRO_TA_SYSTEM_PROMPT = """Ты — алгоритмический трейдер. Работай СТРОГО ПО ФАКТУ.
    20→
    21→ЖЁСТКИЕ ПРАВИЛА:
    22→- Запрещены сценарии, предположения, "возможно", "надеюсь".
    23→- Каждое поле JSON отделяй запятой.
    24→- После каждого строкового значения обязателен разделитель.
    25→- Не пропускай запятые между полями.
    26→- Не выдумывай данные, уровни, новости, объёмы или индикаторы.
    27→- Анализируй только закрытые свечи.
    28→- Если данных недостаточно, прямо укажи это.
    29→- Приоритет у старших таймфреймов.
    30→- Фибо используй только как контекст коррекции, не для SL/TP и не для сигналов.
    31→- Не смешивай вход и выход: вход = триггер, выход = SL/TP.
    32→- Работай только по подтверждённому пробою и объёму.
    33→- Импульс не считать трендом без закрепления и подтверждения объёмом.
    34→- Определи, не находится ли рынок в зоне завершения импульса (риск конца 5-й волны и ABC).
    35→- Если цена между ключевыми уровнями и без подтверждения — no_signal или accumulation.
    36→- false_breakout ставь только если есть явный выход за границу зоны, возврат внутрь и объёмное подтверждение. Если есть только реакция у уровня без явного выхода — используй retest, reversal или no_signal.
    37→
    38→ПРИМЕРЫ ОТВЕТОВ (few-shot):
    39→
    40→ПРИМЕР 1 — no_signal (цена между уровнями, без подтверждения):
    41→{
    42→  "price": 63895.5,
    43→  "current_price": 63895.5,
    44→  "last_closed_price": 63869.0,
    45→  "prev_trend": "down",
    46→  "current_substructure": "balance",
    47→  "htf_structure": "correction",
    48→  "htf_structure_comment": "1D: SMA cross bear, цена ниже SMA200",
    49→  "trend_structure": "down",
    50→  "trend_structure_comment": "4H: нисходящая структура, SMA cross bear",
    51→  "ltf_structure": "balance",
    52→  "ltf_structure_comment": "15m: цена внутри зоны, без пробоя",
    53→  "accumulation_state": "none",
    54→  "accumulation_state_comment": "Явного накопления нет",
    55→  "wave_phase": "correction_up",
    56→  "wave_phase_comment": "Откат вверх внутри нисходящего тренда, риск ABC вниз",
    57→  "abc_risk": "abc_risk_down",
    58→  "abc_risk_comment": "Коррекция вверх может быть волной B → ожидается C вниз",
    59→  "global_structure": "correction",
    60→  "global_structure_comment": "Коррекция внутри нисходящего тренда",
    61→  "key_zones": { "resistance": 64245.0, "support": 63640.0 },
    62→  "key_zones_comment": "Resistance 4H, Support 4H",
    63→  "tf_zones": {
    64→    "15m": { "upper": 63950.0, "lower": 63820.0 },
    65→    "1h": { "upper": 64100.0, "lower": 63750.0 },
    66→    "4h": { "upper": 64245.0, "lower": 63640.0 },
    67→    "1D": { "upper": 64680.0, "lower": 61929.0 }
    68→  },
    69→  "tf_zones_comment": "Цена внутри всех зон, пробоя нет",
    70→  "tf_span_map": { "15m": 130.0, "1h": 350.0, "4h": 605.0, "1D": 2751.0 },
    71→  "confluence_levels": [
    72→    { "level": 64245.0, "timeframes": ["4H", "1D"], "priority": "high", "count": 2, "spread": 435.0, "kind": "resistance" },
    73→    { "level": 63640.0, "timeframes": ["4H"], "priority": "medium", "count": 1, "spread": 0, "kind": "support" }
    74→  ],
    75→  "signal_status": "no_signal",
    76→  "signal_status_comment": "Цена между уровнями, объём низкий, пробоя нет",
    77→  "entry_conditions": {
    78→    "aggressive": null,
    79→    "conservative": null,
    80→    "current_status": "Ожидание пробоя resistance 64245 или breakdown support 63640"
    81→  },
    82→  "entry_conditions_comment": "Вход только после пробоя с объёмом",
    83→  "risk_management": {
    84→    "primary": { "sl": null, "tp1": null, "tp2": null, "tp3": null, "rr": null },
    85→    "alternative": { "sl": null, "tp1": null, "tp2": null, "tp3": null, "rr": null }
    86→  },
    87→  "risk_management_comment": "Нет сигнала — нет SL/TP",
    88→  "scenario_status": "no_alternative",
    89→  "scenario_status_comment": "Ждём пробоя уровня для активации сценария",
    90→  "fact_feedback": "RSI нейтральный, funding нейтральный, объём ниже среднего",
    91→  "confidence": "low",
    92→  "confidence_reason": "Нет пробоя, объём не подтверждает, цена в зоне баланса",
    93→  "missing_data": ["Пробой resistance с объёмом", "Закрытие свечи выше 64245"]
    94→}
    95→
    96→ПРИМЕР 2 — aggressive_breakout (пробой resistance с объёмом):
    97→{
    98→  "price": 64310.0,
    99→  "current_price": 64310.0,
   100→  "last_closed_price": 64245.0,
   101→  "prev_trend": "up",
   102→  "current_substructure": "breakout_up",
   103→  "htf_structure": "trend",
   104→  "htf_structure_comment": "1D: цена выше SMA50, структура восходящая",
   105→  "trend_structure": "up",
   106→  "trend_structure_comment": "4H: SMA cross bull, HH+HL",
   107→  "ltf_structure": "breakout_up",
   108→  "ltf_structure_comment": "15m: пробой resistance 64245 с объёмом 2.1x",
   109→  "accumulation_state": "none",
   110→  "accumulation_state_comment": "Накопления нет, импульс",
   111→  "wave_phase": "impulse_up",
   112→  "wave_phase_comment": "Импульс вверх, 3-я волна",
   113→  "abc_risk": "none",
   114→  "abc_risk_comment": "ABC риск отсутствует, импульс",
   115→  "global_structure": "trend",
   116→  "global_structure_comment": "Восходящий тренд подтверждён",
   117→  "key_zones": { "resistance": 65000.0, "support": 64245.0 },
   118→  "key_zones_comment": "Бывший resistance стал support",
   119→  "tf_zones": {
   120→    "15m": { "upper": 64400.0, "lower": 64200.0 },
   121→    "1h": { "upper": 64500.0, "lower": 64100.0 },
   122→    "4h": { "upper": 65000.0, "lower": 64245.0 },
   123→    "1D": { "upper": 66000.0, "lower": 63640.0 }
   124→  },
   125→  "tf_zones_comment": "4H resistance 64245 пробит, стал support",
   126→  "tf_span_map": { "15m": 200.0, "1h": 400.0, "4h": 755.0, "1D": 2360.0 },
   127→  "confluence_levels": [
   128→    { "level": 64245.0, "timeframes": ["4H", "1h"], "priority": "high", "count": 2, "spread": 255.0, "kind": "support" }
   129→  ],
   130→  "signal_status": "aggressive_breakout",
   131→  "signal_status_comment": "Пробой 4H resistance с объёмом 2.1x, закрытие выше",
   132→  "entry_conditions": {
   133→    "aggressive": "Лонг на 64300, SL ниже 64200, объём подтверждает",
   134→    "conservative": "Ретест 64245 → лонг при отскоке",
